AÑO FISCAL;SALARIO MENSUAL;RETENCION MENSUAL
2017;89200;10882.94
2017;89250;10895.44
2017;89300;10907.94
2017;89350;10920.44
2017;89400;10932.94
2017;89450;10945.44
2017;89500;10957.94
2017;89550;10970.44
2017;89600;10982.94
2017;89650;10995.44
2017;89700;11007.94
2017;89750;11020.44
2017;89800;11032.94
2017;89850;11045.44
2017;89900;11057.94
2017;89950;11070.44
2017;90000;11082.94
2017;90050;11095.44
2017;90100;11107.94
2017;90150;11120.44
2017;90200;11132.94
2017;90250;11145.44
2017;90300;11157.94
2017;90350;11170.44
2017;90400;11182.94
2017;90450;11195.44
2017;90500;11207.94
2017;90550;11220.44
2017;90600;11232.94
2017;90650;11245.44
2017;90700;11257.94
2017;90750;11270.44
2017;90800;11282.94
2017;90850;11295.44
2017;90900;11307.94
2017;90950;11320.44
2017;91000;11332.94
2017;91050;11345.44
2017;91100;11357.94
2017;91150;11370.44
2017;91200;11382.94
2017;91250;11395.44
2017;91300;11407.94
2017;91350;11420.44
2017;91400;11432.94
2017;91450;11445.44
2017;91500;11457.94
2017;91550;11470.44
2017;91600;11482.94
2017;91650;11495.44
2017;91700;11507.94
2017;91750;11520.44
2017;91800;11532.94
2017;91850;11545.44
2017;91900;11557.94
2017;91950;11570.44
2017;92000;11582.94
2017;92050;11595.44
2017;92100;11607.94
2017;92150;11620.44
2017;92200;11632.94
2017;92250;11645.44
2017;92300;11657.94
2017;92350;11670.44
2017;92400;11682.94
2017;92450;11695.44
2017;92500;11707.94
2017;92550;11720.44
2017;92600;11732.94
2017;92650;11745.44
2017;92700;11757.94
2017;92750;11770.44
2017;92800;11782.94
2017;92850;11795.44
2017;92900;11807.94
2017;92950;11820.44
2017;93000;11832.94
2017;93050;11845.44
2017;93100;11857.94
2017;93150;11870.44
2017;93200;11882.94
2017;93250;11895.44
2017;93300;11907.94
2017;93350;11920.44
2017;93400;11932.94
2017;93450;11945.44
2017;93500;11957.94
2017;93550;11970.44
2017;93600;11982.94
2017;93650;11995.44
2017;93700;12007.94
2017;93750;12020.44
2017;93800;12032.94
2017;93850;12045.44
2017;93900;12057.94
2017;93950;12070.44
2017;94000;12082.94
2017;94050;12095.44
2017;94100;12107.94
2017;94150;12120.44
2017;94200;12132.94
2017;94250;12145.44
2017;94300;12157.94
2017;94350;12170.44
2017;94400;12182.94
2017;94450;12195.44
2017;94500;12207.94
2017;94550;12220.44
2017;94600;12232.94
2017;94650;12245.44
2017;94700;12257.94
2017;94750;12270.44
2017;94800;12282.94
2017;94850;12295.44
2017;94900;12307.94
2017;94950;12320.44
2017;95000;12332.94
2017;95050;12345.44
2017;95100;12357.94
2017;95150;12370.44
2017;95200;12382.94
2017;95250;12395.44
2017;95300;12407.94
2017;95350;12420.44
2017;95400;12432.94
2017;95450;12445.44
2017;95500;12457.94
2017;95550;12470.44
2017;95600;12482.94
2017;95650;12495.44
2017;95700;12507.94
2017;95750;12520.44
2017;95800;12532.94
2017;95850;12545.44
2017;95900;12557.94
2017;95950;12570.44
2017;96000;12582.94
2017;96050;12595.44
2017;96100;12607.94
2017;96150;12620.44
2017;96200;12632.94
2017;96250;12645.44
2017;96300;12657.94
2017;96350;12670.44
2017;96400;12682.94
2017;96450;12695.44
2017;96500;12707.94
2017;96550;12720.44
2017;96600;12732.94
2017;96650;12745.44
2017;96700;12757.94
2017;96750;12770.44
2017;96800;12782.94
2017;96850;12795.44
2017;96900;12807.94
2017;96950;12820.44
2017;97000;12832.94
2017;97050;12845.44
2017;97100;12857.94
2017;97150;12870.44
2017;97200;12882.94
2017;97250;12895.44
2017;97300;12907.94
2017;97350;12920.44
2017;97400;12932.94
2017;97450;12945.44
2017;97500;12957.94
2017;97550;12970.44
2017;97600;12982.94
2017;97650;12995.44
2017;97700;13007.94
2017;97750;13020.44
2017;97800;13032.94
2017;97850;13045.44
2017;97900;13057.94
2017;97950;13070.44
2017;98000;13082.94
2017;98050;13095.44
2017;98100;13107.94
